reference,source_material_label,source_rows_origin,C_pct,H_pct,O_pct,Fe_pct,H_C,O_C,ON_C,area_m2_g,As_initial_mg_L,temperature_C,pH,dose_g_L,capacity_mg_g,material_group
[24],FB,Su2025_SI_Table_S2,56.27,0.76,10.47,22.79,0.162,0.14,0.146,115.43,5.0,25.0,3.0,0.83,2.13,[24]::profile_03
[24],FB,Su2025_SI_Table_S2,56.27,0.76,10.47,22.79,0.162,0.14,0.146,115.43,5.0,25.0,5.0,0.83,2.12,[24]::profile_03
[24],FB,Su2025_SI_Table_S2,56.27,0.76,10.47,22.79,0.162,0.14,0.146,115.43,5.0,25.0,7.0,0.83,1.92,[24]::profile_03
[24],FB,Su2025_SI_Table_S2,56.27,0.76,10.47,22.79,0.162,0.14,0.146,115.43,5.0,25.0,9.0,0.83,1.42,[24]::profile_03
[24],FB,Su2025_SI_Table_S2,56.27,0.76,10.47,22.79,0.162,0.14,0.146,115.43,5.0,25.0,11.0,0.83,1.01,[24]::profile_03
[24],BF,Su2025_SI_Table_S2,64.13,1.11,8.29,14.35,0.208,0.097,0.106,48.41,5.0,25.0,3.0,0.83,1.2,[24]::profile_02
[24],BF,Su2025_SI_Table_S2,64.13,1.11,8.29,14.35,0.208,0.097,0.106,48.41,5.0,25.0,5.0,0.83,1.19,[24]::profile_02
[24],BF,Su2025_SI_Table_S2,64.13,1.11,8.29,14.35,0.208,0.097,0.106,48.41,5.0,25.0,7.0,0.83,0.98,[24]::profile_02
[24],BF,Su2025_SI_Table_S2,64.13,1.11,8.29,14.35,0.208,0.097,0.106,48.41,5.0,25.0,9.0,0.83,0.69,[24]::profile_02
[24],BF,Su2025_SI_Table_S2,64.13,1.11,8.29,14.35,0.208,0.097,0.106,48.41,5.0,25.0,11.0,0.83,0.38,[24]::profile_02
[24],BC,Su2025_SI_Table_S2,85.06,0.84,4.14,0.0,0.119,0.037,0.043,56.18,5.0,25.0,3.0,0.83,0.28,[24]::profile_01
[24],BC,Su2025_SI_Table_S2,85.06,0.84,4.14,0.0,0.119,0.037,0.043,56.18,5.0,25.0,5.0,0.83,0.26,[24]::profile_01
[24],BC,Su2025_SI_Table_S2,85.06,0.84,4.14,0.0,0.119,0.037,0.043,56.18,5.0,25.0,7.0,0.83,0.21,[24]::profile_01
[24],BC,Su2025_SI_Table_S2,85.06,0.84,4.14,0.0,0.119,0.037,0.043,56.18,5.0,25.0,9.0,0.83,0.19,[24]::profile_01
[24],BC,Su2025_SI_Table_S2,85.06,0.84,4.14,0.0,0.119,0.037,0.043,56.18,5.0,25.0,11.0,0.83,0.12,[24]::profile_01
[25],nan,Su2025_SI_Table_S2,52.6,2.48,43.29,0.0,0.566,0.617,0.624,44.22,50.0,25.0,7.0,2.5,2.76,[25]::profile_04
[25],nan,Su2025_SI_Table_S2,53.94,1.62,42.61,0.0,0.36,0.592,0.601,238.56,50.0,25.0,7.0,2.5,3.5,[25]::profile_05
[25],nan,Su2025_SI_Table_S2,70.98,3.09,23.85,0.0,0.522,0.252,0.26,0.42,50.0,25.0,7.0,2.5,0.0,[25]::profile_01
[25],nan,Su2025_SI_Table_S2,76.59,2.18,19.23,0.0,0.342,0.188,0.196,510.84,50.0,25.0,7.0,2.5,0.12,[25]::profile_02
[25],nan,Su2025_SI_Table_S2,81.81,0.89,15.21,0.0,0.131,0.139,0.147,605.04,50.0,25.0,7.0,2.5,0.16,[25]::profile_03
[27],nan,Su2025_SI_Table_S2,49.4,3.266,45.14,0.0,0.793,0.685,0.741,4.331,0.1,25.0,6.5,1.5,0.0084,[27]::profile_01
[27],nan,Su2025_SI_Table_S2,49.4,3.266,45.14,0.0,0.793,0.685,0.741,4.331,0.1,25.0,6.5,2.0,0.0089,[27]::profile_01
[27],nan,Su2025_SI_Table_S2,49.4,3.266,45.14,0.0,0.793,0.685,0.741,4.331,0.1,25.0,6.5,2.5,0.0116,[27]::profile_01
[27],nan,Su2025_SI_Table_S2,49.4,3.266,45.14,0.0,0.793,0.685,0.741,4.331,0.1,25.0,6.5,5.0,0.0064,[27]::profile_01
[27],nan,Su2025_SI_Table_S2,49.4,3.266,45.14,0.0,0.793,0.685,0.741,4.331,0.1,25.0,6.5,10.0,0.0037,[27]::profile_01
[27],nan,Su2025_SI_Table_S2,49.4,3.266,45.14,0.0,0.793,0.685,0.741,4.331,0.1,25.0,6.5,15.0,0.0031,[27]::profile_01
[27],nan,Su2025_SI_Table_S2,49.4,3.266,45.14,0.0,0.793,0.685,0.741,4.331,0.1,25.0,6.5,20.0,0.0031,[27]::profile_01
[27],nan,Su2025_SI_Table_S2,49.4,3.266,45.14,0.0,0.793,0.685,0.741,4.331,0.1,25.0,6.5,25.0,0.0027,[27]::profile_01
[30],nan,Su2025_SI_Table_S2,38.08,1.44,27.76,24.17,0.454,0.547,0.569,4.81,40.0,30.0,6.0,0.2,4.1518,[30]::profile_02
[30],nan,Su2025_SI_Table_S2,38.08,1.44,27.76,24.17,0.454,0.547,0.569,4.81,40.0,30.0,6.0,0.5,2.5709,[30]::profile_02
[30],nan,Su2025_SI_Table_S2,38.08,1.44,27.76,24.17,0.454,0.547,0.569,4.81,40.0,30.0,6.0,0.8,5.5461,[30]::profile_02
[30],nan,Su2025_SI_Table_S2,38.08,1.44,27.76,24.17,0.454,0.547,0.569,4.81,40.0,30.0,6.0,10.0,3.777,[30]::profile_02
[30],nan,Su2025_SI_Table_S2,38.08,1.44,27.76,24.17,0.454,0.547,0.569,4.81,40.0,30.0,12.0,5.0,0.2034,[30]::profile_02
