source_table_row_id,source_study_id,material_group,pollutant,series,dose_g_L,contact_time_h,matrix,provenance_tier,train_eligible,test_eligible,expected_material_label,metal_order,lead_order
189,Cui2016_Canna,Cui2016_Canna::CI300,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI300,0,
190,Cui2016_Canna,Cui2016_Canna::CI300,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI300,1,
191,Cui2016_Canna,Cui2016_Canna::CI300,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI300,2,
192,Cui2016_Canna,Cui2016_Canna::CI300,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI300,3,
193,Cui2016_Canna,Cui2016_Canna::CI300,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI300,4,
194,Cui2016_Canna,Cui2016_Canna::CI300,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI300,5,
195,Cui2016_Canna,Cui2016_Canna::CI400,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI400,6,
196,Cui2016_Canna,Cui2016_Canna::CI400,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI400,7,
197,Cui2016_Canna,Cui2016_Canna::CI400,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI400,8,
198,Cui2016_Canna,Cui2016_Canna::CI400,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI400,9,
199,Cui2016_Canna,Cui2016_Canna::CI400,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI400,10,
200,Cui2016_Canna,Cui2016_Canna::CI400,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI400,11,
201,Cui2016_Canna,Cui2016_Canna::CI500,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI500,12,
202,Cui2016_Canna,Cui2016_Canna::CI500,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI500,13,
203,Cui2016_Canna,Cui2016_Canna::CI500,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI500,14,
204,Cui2016_Canna,Cui2016_Canna::CI500,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI500,15,
205,Cui2016_Canna,Cui2016_Canna::CI500,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI500,16,
206,Cui2016_Canna,Cui2016_Canna::CI500,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI500,17,
207,Cui2016_Canna,Cui2016_Canna::CI600,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI600,18,
208,Cui2016_Canna,Cui2016_Canna::CI600,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI600,19,
209,Cui2016_Canna,Cui2016_Canna::CI600,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI600,20,
210,Cui2016_Canna,Cui2016_Canna::CI600,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI600,21,
211,Cui2016_Canna,Cui2016_Canna::CI600,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI600,22,
212,Cui2016_Canna,Cui2016_Canna::CI600,Cd (II),pH_series,1.0,24.0,0.01 M NaNO3,verified_compilation,True,True,CI600,23,
213,Cui2016_Wetland,Cui2016_Wetland::TD500,Cd (II),isotherm_series,1.0,24.0,not_reported_in_condition_audit,verified_compilation,True,True,TD500,24,
214,Cui2016_Wetland,Cui2016_Wetland::TD500,Cd (II),isotherm_series,1.0,24.0,not_reported_in_condition_audit,verified_compilation,True,True,TD500,25,
