source_row_id,original_material_label,candidate_series,response_endpoint_candidate,source_article_section,source_order_mapping_status,series_evidence
302,SCWB-P,pH_pattern,Q_e_at_equilibrium_condition,3.2.1,source_order_candidate_pending_table_or_figure_confirmation,contiguous workbook block order matches the source article section order and expected triplicate counts; source table/figure row IDs are not available in the XML export
303,SCWB-P,pH_pattern,Q_e_at_equilibrium_condition,3.2.1,source_order_candidate_pending_table_or_figure_confirmation,contiguous workbook block order matches the source article section order and expected triplicate counts; source table/figure row IDs are not available in the XML export
304,SCWB-P,pH_pattern,Q_e_at_equilibrium_condition,3.2.1,source_order_candidate_pending_table_or_figure_confirmation,contiguous workbook block order matches the source article section order and expected triplicate counts; source table/figure row IDs are not available in the XML export
305,SCWB-P,pH_pattern,Q_e_at_equilibrium_condition,3.2.1,source_order_candidate_pending_table_or_figure_confirmation,contiguous workbook block order matches the source article section order and expected triplicate counts; source table/figure row IDs are not available in the XML export
306,SCWB-P,pH_pattern,Q_e_at_equilibrium_condition,3.2.1,source_order_candidate_pending_table_or_figure_confirmation,contiguous workbook block order matches the source article section order and expected triplicate counts; source table/figure row IDs are not available in the XML export
307,SCWB-P,pH_pattern,Q_e_at_equilibrium_condition,3.2.1,source_order_candidate_pending_table_or_figure_confirmation,contiguous workbook block order matches the source article section order and expected triplicate counts; source table/figure row IDs are not available in the XML export
308,SCWB-P,pH_pattern,Q_e_at_equilibrium_condition,3.2.1,source_order_candidate_pending_table_or_figure_confirmation,contiguous workbook block order matches the source article section order and expected triplicate counts; source table/figure row IDs are not available in the XML export
309,SCWB-P,pH_pattern,Q_e_at_equilibrium_condition,3.2.1,source_order_candidate_pending_table_or_figure_confirmation,contiguous workbook block order matches the source article section order and expected triplicate counts; source table/figure row IDs are not available in the XML export
310,SCWB-P,pH_pattern,Q_e_at_equilibrium_condition,3.2.1,source_order_candidate_pending_table_or_figure_confirmation,contiguous workbook block order matches the source article section order and expected triplicate counts; source table/figure row IDs are not available in the XML export
311,SCWB-P,pH_pattern,Q_e_at_equilibrium_condition,3.2.1,source_order_candidate_pending_table_or_figure_confirmation,contiguous workbook block order matches the source article section order and expected triplicate counts; source table/figure row IDs are not available in the XML export
312,SCWB-P,pH_pattern,Q_e_at_equilibrium_condition,3.2.1,source_order_candidate_pending_table_or_figure_confirmation,contiguous workbook block order matches the source article section order and expected triplicate counts; source table/figure row IDs are not available in the XML export
313,SCWB-P,pH_pattern,Q_e_at_equilibrium_condition,3.2.1,source_order_candidate_pending_table_or_figure_confirmation,contiguous workbook block order matches the source article section order and expected triplicate counts; source table/figure row IDs are not available in the XML export
