source_row_id,original_material_label,candidate_series,analysis_pollutant_label,analysis_adsorption_type,adsorption_type_mapping_status,pollutant_label_mapping_status,ordered_source_series,analysis_endpoint_candidate
2380,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2381,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2382,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2383,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2384,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2385,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2386,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2387,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2388,Pristine SCW Biochar,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2389,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2390,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2391,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2392,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2393,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2394,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2395,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2396,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2397,Pristine SCW Biochar,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2398,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2399,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2400,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2401,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2402,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2403,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2404,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2405,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2406,Pristine SCW Biochar,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2461,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2462,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2463,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2464,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2465,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2466,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2467,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2468,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2469,Pristine SCW Biochar,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2470,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2471,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2472,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2473,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2474,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2475,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2476,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2477,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2478,Pristine SCW Biochar,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2479,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2480,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2481,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2482,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2483,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2484,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2485,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2486,Pristine SCW Biochar,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2487,Pristine SCW Biochar,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2518,Pristine SCW Biochar,isotherm_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2519,Pristine SCW Biochar,isotherm_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2520,Pristine SCW Biochar,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2521,Pristine SCW Biochar,isotherm_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2522,Pristine SCW Biochar,isotherm_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2523,Pristine SCW Biochar,isotherm_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2524,Pristine SCW Biochar,isotherm_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2525,Pristine SCW Biochar,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2526,Pristine SCW Biochar,isotherm_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2527,Pristine SCW Biochar,isotherm_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2528,Pristine SCW Biochar,isotherm_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2529,Pristine SCW Biochar,isotherm_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2530,Pristine SCW Biochar,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2531,Pristine SCW Biochar,isotherm_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2532,Pristine SCW Biochar,isotherm_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,isotherm,Q_e
2557,Pristine SCW Biochar,pH_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,pH,Q_e
2558,Pristine SCW Biochar,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,pH,Q_e
2559,Pristine SCW Biochar,pH_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,pH,Q_e
2560,Pristine SCW Biochar,pH_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,pH,Q_e
2561,Pristine SCW Biochar,pH_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,pH,Q_e
2562,Pristine SCW Biochar,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,pH,Q_e
2563,Pristine SCW Biochar,pH_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,pH,Q_e
2564,Pristine SCW Biochar,pH_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,pH,Q_e
2565,Pristine SCW Biochar,pH_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,pH,Q_e
2566,Pristine SCW Biochar,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,pH,Q_e
2567,Pristine SCW Biochar,pH_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,pH,Q_e
2568,Pristine SCW Biochar,pH_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,pH,Q_e
