source_row_id,original_material_label,candidate_series,response_endpoint_candidate,source_pH_status,response_quality_status,source_article_section,source_order_mapping_status,series_evidence
894,SCG,pH_pattern,Q_e_at_equilibrium_condition,outside_source_reported_3_to_9_range_pH1_requires_source_review,nonnegative_capacity,2.4_adsorption_experiments,source_order_candidate_pending_figure_or_table_row_confirmation,"source methods and contiguous workbook block order; source figures state pH 3--9, nominal initial concentration 1--10 mg/L, and duplicate experiments"
895,SCG,pH_pattern,Q_e_at_equilibrium_condition,within_source_reported_range,nonnegative_capacity,2.4_adsorption_experiments,source_order_candidate_pending_figure_or_table_row_confirmation,"source methods and contiguous workbook block order; source figures state pH 3--9, nominal initial concentration 1--10 mg/L, and duplicate experiments"
896,SCG,pH_pattern,Q_e_at_equilibrium_condition,within_source_reported_range,nonnegative_capacity,2.4_adsorption_experiments,source_order_candidate_pending_figure_or_table_row_confirmation,"source methods and contiguous workbook block order; source figures state pH 3--9, nominal initial concentration 1--10 mg/L, and duplicate experiments"
897,SCG,pH_pattern,Q_e_at_equilibrium_condition,within_source_reported_range,nonnegative_capacity,2.4_adsorption_experiments,source_order_candidate_pending_figure_or_table_row_confirmation,"source methods and contiguous workbook block order; source figures state pH 3--9, nominal initial concentration 1--10 mg/L, and duplicate experiments"
898,SCG,pH_pattern,Q_e_at_equilibrium_condition,within_source_reported_range,nonnegative_capacity,2.4_adsorption_experiments,source_order_candidate_pending_figure_or_table_row_confirmation,"source methods and contiguous workbook block order; source figures state pH 3--9, nominal initial concentration 1--10 mg/L, and duplicate experiments"
899,SCG,pH_pattern,Q_e_at_equilibrium_condition,outside_source_reported_3_to_9_range_pH1_requires_source_review,nonnegative_capacity,2.4_adsorption_experiments,source_order_candidate_pending_figure_or_table_row_confirmation,"source methods and contiguous workbook block order; source figures state pH 3--9, nominal initial concentration 1--10 mg/L, and duplicate experiments"
900,SCG,pH_pattern,Q_e_at_equilibrium_condition,within_source_reported_range,nonnegative_capacity,2.4_adsorption_experiments,source_order_candidate_pending_figure_or_table_row_confirmation,"source methods and contiguous workbook block order; source figures state pH 3--9, nominal initial concentration 1--10 mg/L, and duplicate experiments"
901,SCG,pH_pattern,Q_e_at_equilibrium_condition,within_source_reported_range,nonnegative_capacity,2.4_adsorption_experiments,source_order_candidate_pending_figure_or_table_row_confirmation,"source methods and contiguous workbook block order; source figures state pH 3--9, nominal initial concentration 1--10 mg/L, and duplicate experiments"
902,SCG,pH_pattern,Q_e_at_equilibrium_condition,within_source_reported_range,nonnegative_capacity,2.4_adsorption_experiments,source_order_candidate_pending_figure_or_table_row_confirmation,"source methods and contiguous workbook block order; source figures state pH 3--9, nominal initial concentration 1--10 mg/L, and duplicate experiments"
903,SCG,pH_pattern,Q_e_at_equilibrium_condition,within_source_reported_range,nonnegative_capacity,2.4_adsorption_experiments,source_order_candidate_pending_figure_or_table_row_confirmation,"source methods and contiguous workbook block order; source figures state pH 3--9, nominal initial concentration 1--10 mg/L, and duplicate experiments"
